,Unnamed: 0_x,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,format,Unnamed: 0_y,Span,Mat_y,Inns_y,Balls,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
0,0.0,SR Tendulkar (INDIA),463.0,452.0,41.0,18426.0,200*,44.83,21368.0,86.23,49.0,96.0,20.0,2016,195,odi,72.0,1989-2012,463.0,270.0,8054.0,6850.0,154.0,44.48,5.1,52.2,4.0,2.0
1,1.0,V Kohli (INDIA),254.0,245.0,39.0,12169.0,183,59.07,13061.0,93.17,43.0,62.0,13.0,1140,125,odi,,,,,,,,,,,,
2,2.0,RT Ponting (AUS/ICC),375.0,365.0,39.0,13704.0,164,42.03,17046.0,80.39,30.0,82.0,20.0,1231,162,odi,,,,,,,,,,,,
3,3.0,RG Sharma (INDIA),227.0,220.0,32.0,9205.0,264,48.96,10354.0,88.9,29.0,43.0,13.0,832,244,odi,,,,,,,,,,,,
4,4.0,ST Jayasuriya (Asia/SL),445.0,433.0,18.0,13430.0,189,32.36,14725.0,91.2,28.0,68.0,34.0,1500,270,odi,10.0,1989-2011,445.0,368.0,14874.0,11871.0,323.0,36.75,4.78,46.0,8.0,4.0
5,5.0,HM Amla (SA),181.0,178.0,14.0,8113.0,159,49.46,9178.0,88.39,27.0,39.0,4.0,822,53,odi,,,,,,,,,,,,
6,6.0,AB de Villiers (Afr/SA),228.0,218.0,39.0,9577.0,176,53.5,9473.0,101.09,25.0,53.0,7.0,840,204,odi,,,,,,,,,,,,
7,7.0,CH Gayle (ICC/WI),301.0,294.0,17.0,10480.0,215,37.83,12019.0,87.19,25.0,54.0,25.0,1128,331,odi,62.0,1999-2019,301.0,199.0,7424.0,5926.0,167.0,35.48,4.78,44.4,3.0,1.0
8,8.0,KC Sangakkara (Asia/ICC/SL),404.0,380.0,41.0,14234.0,169,41.98,18048.0,78.86,25.0,93.0,15.0,1385,88,odi,,,,,,,,,,,,
9,9.0,SC Ganguly (Asia/INDIA),311.0,300.0,23.0,11363.0,183,41.02,15416.0,73.7,22.0,72.0,16.0,1122,190,odi,,,,,,,,,,,,
10,10.0,TM Dilshan (SL),330.0,303.0,41.0,10290.0,161*,39.27,11933.0,86.23,22.0,47.0,11.0,1111,55,odi,,,,,,,,,,,,
11,11.0,LRPL Taylor (NZ),233.0,217.0,39.0,8581.0,181*,48.2,10287.0,83.41,21.0,51.0,9.0,712,146,odi,,,,,,,,,,,,
12,12.0,HH Gibbs (SA),248.0,240.0,16.0,8094.0,175,36.13,9721.0,83.26,21.0,37.0,22.0,930,128,odi,,,,,,,,,,,,
13,13.0,Saeed Anwar (PAK),247.0,244.0,19.0,8824.0,194,39.21,10938.0,80.67,20.0,43.0,15.0,938,97,odi,,,,,,,,,,,,
14,14.0,BC Lara (ICC/WI),299.0,289.0,32.0,10405.0,169,40.48,13086.0,79.51,19.0,63.0,16.0,1042,133,odi,,,,,,,,,,,,
15,15.0,DPMD Jayawardene (Asia/SL),448.0,418.0,39.0,12650.0,144,33.37,16020.0,78.96,19.0,77.0,28.0,1119,76,odi,,,,,,,,,,,,
16,16.0,DA Warner (AUS),128.0,126.0,6.0,5455.0,179,45.45,5710.0,95.53,18.0,23.0,2.0,571,85,odi,,,,,,,,,,,,
17,17.0,ME Waugh (AUS),244.0,236.0,20.0,8500.0,173,39.35,11053.0,76.9,18.0,50.0,16.0,651,57,odi,,,,,,,,,,,,
18,18.0,AJ Finch (AUS),132.0,128.0,3.0,5232.0,153*,41.85,5917.0,88.42,17.0,29.0,11.0,518,126,odi,,,,,,,,,,,,
