,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,Mat_y,Inns_y,Overs,Mdns,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
0,MJ Guptill (NZ),112,108,7,3299,105,32.66,2413,136.71,2,20,3,287,165,,,,,,,,,,,
1,V Kohli (INDIA),95,87,25,3227,94*,52.04,2340,137.9,0,29,3,290,91,,,,,,,,,,,
2,RG Sharma (INDIA),119,111,15,3197,118,33.3,2279,140.28,4,26,7,284,150,,,,,,,,,,,
3,Babar Azam (PAK),73,68,10,2620,122,45.17,2029,129.12,1,25,3,272,40,,,,,,,,,,,
4,AJ Finch (AUS),83,83,10,2608,172,35.72,1762,148.01,2,15,7,261,113,,,,,,,,,,,
5,PR Stirling (IRE),92,91,8,2570,115*,30.96,1889,136.05,1,19,9,295,89,,,,,,,,,,,
6,DA Warner (AUS),88,88,10,2554,100*,32.74,1818,140.48,1,21,6,250,99,,,,,,,,,,,
7,Mohammad Hafeez (PAK),119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76,119,79,210.1,3,1388,61,22.75,6.6,20.6,1,0
8,Shoaib Malik (ICC/PAK),124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69,124,49,95,0,675,28,24.1,7.1,20.3,0,0
9,EJG Morgan (ENG),113,105,21,2428,91,28.9,1764,137.64,0,14,3,184,119,,,,,,,,,,,
10,BB McCullum (NZ),71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,,,,,,,,,,,
11,JC Buttler (ENG),88,80,18,2140,101*,34.51,1516,141.16,1,15,4,184,90,,,,,,,,,,,
12,KS Williamson (NZ),74,72,10,2021,95,32.59,1630,123.98,0,14,4,202,46,,,,,,,,,,,
13,Mohammad Shahzad (AFG),70,70,3,2015,118*,30.07,1508,133.62,1,12,4,225,75,,,,,,,,,,,
14,KJ O'Brien (IRE),110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82,110,52,152.5,0,1149,58,19.81,7.51,15.8,1,0
15,Mahmudullah (BAN),113,105,23,1971,64*,24.03,1672,117.88,0,6,4,152,60,113,67,137.3,2,995,36,27.63,7.23,22.9,0,0
16,JP Duminy (SA),81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71,,,,,,,,,,,
17,LRPL Taylor (NZ),102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71,,,,,,,,,,,
18,CH Gayle (WI),79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124,,,,,,,,,,,
19,Shakib Al Hasan (BAN),94,93,10,1894,84,22.81,1572,120.48,0,9,6,193,38,94,93,347.3,3,2316,117,19.79,6.66,17.8,5,1
20,TM Dilshan (SL),80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33,,,,,,,,,,,
21,GJ Maxwell (AUS),79,72,12,1844,145*,30.73,1184,155.74,3,9,1,153,94,79,53,122,0,911,33,27.6,7.46,22.1,0,0
22,KL Rahul (INDIA),56,52,7,1831,110*,40.68,1285,142.49,2,16,4,164,73,,,,,,,,,,,
23,Q de Kock (SA),61,61,7,1827,79*,33.83,1353,135.03,0,11,3,189,65,,,,,,,,,,,
24,DA Miller (SA/World),95,83,27,1786,101*,31.89,1270,140.62,1,4,0,119,79,,,,,,,,,,,
25,S Dhawan (INDIA),68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50,,,,,,,,,,,
26,Tamim Iqbal (BAN/ICC/World),78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45,,,,,,,,,,,
27,C Munro (NZ),65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107,,,,,,,,,,,
28,RD Berrington (SCOT),74,67,14,1694,100,31.96,1322,128.13,1,7,9,148,54,74,40,85.2,0,647,27,23.96,7.58,18.9,0,0
29,Umar Akmal (PAK),84,79,14,1690,94,26,1377,122.73,0,8,10,122,55,,,,,,,,,,,
30,AB de Villiers (SA),78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60,,,,,,,,,,,
31,H Masakadza (ZIM),66,66,2,1662,93*,25.96,1418,117.2,0,11,1,151,65,,,,,,,,,,,
32,AD Hales (ENG),60,60,7,1644,116*,31.01,1203,136.65,1,8,4,175,55,,,,,,,,,,,
33,Mohammad Rizwan (PAK),55,44,12,1639,104*,51.21,1271,128.95,1,13,3,150,47,,,,,,,,,,,
34,MS Dhoni (INDIA),98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52,,,,,,,,,,,
35,MN Samuels (WI),67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69,,,,,,,,,,,
36,SK Raina (INDIA),78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58,,,,,,,,,,,
37,MDKJ Perera (SL),60,59,1,1539,84,26.53,1172,131.31,0,12,1,144,51,,,,,,,,,,,
38,F du Plessis (SA/World),50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50,,,,,,,,,,,
39,LMP Simmons (WI),68,67,10,1527,91*,26.78,1264,120.8,0,9,6,140,68,,,,,,,,,,,
40,Mohammad Nabi (AFG),86,80,14,1523,89,23.07,1063,143.27,0,4,4,101,85,86,85,281.4,5,2041,73,27.95,7.24,23.1,3,0
41,KJ Coetzer (SCOT),70,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48,,,,,,,,,,,
42,DPMD Jayawardene (SL),55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33,,,,,,,,,,,
43,Ahmed Shehzad (PAK),59,59,2,1471,111*,25.8,1282,114.74,1,7,2,157,33,,,,,,,,,,,
44,KA Pollard (WI),93,76,16,1468,75*,24.46,1083,135.54,0,6,3,86,96,93,57,125.4,0,1062,38,27.94,8.45,19.8,1,0
45,Mushfiqur Rahim (BAN),99,90,16,1465,72*,19.79,1270,115.35,0,6,8,122,37,,,,,,,,,,,
46,SR Watson (AUS),58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83,58,49,155,2,1187,48,24.72,7.65,19.3,1,0
47,E Lewis (WI),50,49,3,1423,125*,30.93,915,155.51,2,10,4,106,110,,,,,,,,,,,
48,Shahid Afridi (ICC/PAK),99,91,12,1416,54*,17.92,944,150,0,4,8,103,73,99,97,361.2,4,2396,98,24.44,6.63,22.1,3,0
49,KC Sangakkara (SL),56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20,,,,,,,,,,,
50,Asghar Afghan (AFG),75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69,,,,,,,,,,,
51,JJ Roy (ENG),53,53,1,1316,78,25.3,908,144.93,0,7,6,136,59,,,,,,,,,,,
52,HM Amla (SA/World),44,44,6,1277,97*,33.6,967,132.05,0,8,2,146,26,,,,,,,,,,,
53,HG Munsey (SCOT),51,49,3,1270,127*,27.6,868,146.31,1,7,5,150,57,,,,,,,,,,,
54,GC Wilson (IRE),81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20,,,,,,,,,,,
55,DJ Bravo (WI),91,74,17,1255,66*,22.01,1091,115.03,0,4,5,73,55,91,77,250.5,0,2036,78,26.1,8.11,19.2,3,0
56,Fakhar Zaman (PAK),64,58,3,1253,91,22.78,951,131.75,0,7,3,127,43,,,,,,,,,,,
57,DJ Malan (ENG),36,35,5,1239,103*,41.3,903,137.2,1,11,0,128,41,,,,,,,,,,,
58,BN Cooper (NED),58,55,11,1239,91*,28.15,993,124.77,0,9,7,118,38,,,,,,,,,,,
59,Najibullah Zadran (AFG),68,59,22,1232,73,33.29,872,141.28,0,6,2,84,65,,,,,,,,,,,
60,NLTC Perera (ICC/SL/World),84,74,22,1204,61,23.15,794,151.63,0,3,8,88,64,84,67,183.4,1,1717,51,33.66,9.34,21.6,0,0
61,JM Bairstow (ENG),63,57,12,1190,86*,26.44,876,135.84,0,7,5,111,49,,,,,,,,,,,
62,A Balbirnie (IRE),57,53,3,1179,83,23.58,951,123.97,0,4,3,134,17,,,,,,,,,,,
63,Yuvraj Singh (INDIA),58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74,58,31,70.4,0,499,28,17.82,7.06,15.1,0,0
64,KP Pietersen (ENG),37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32,,,,,,,,,,,
65,MP O'Dowd (NED),43,42,3,1161,133*,29.76,935,124.17,1,8,0,117,27,,,,,,,,,,,
66,CS MacLeod (SCOT),60,57,9,1157,74,24.1,1048,110.4,0,7,7,99,22,,,,,,,,,,,
67,AD Mathews (SL),78,63,18,1148,81*,25.51,975,117.74,0,5,1,73,38,78,61,171.3,4,1200,38,31.57,6.99,27,0,0
68,Soumya Sarkar (BAN),66,66,3,1136,68,18.03,930,122.15,0,5,10,113,43,,,,,,,,,,,
69,WTS Porterfield (IRE),61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23,,,,,,,,,,,
70,RR Hendricks (SA),40,40,1,1049,74,26.89,863,121.55,0,7,2,120,17,,,,,,,,,,,
71,SC Williams (ZIM),50,50,6,1034,66,23.5,821,125.94,0,7,4,97,29,50,47,143,0,1038,33,31.45,7.25,26,0,0
72,Samiullah Shinwari (AFG),64,56,10,1013,61,22.02,858,118.06,0,2,2,76,37,64,38,105.4,0,688,28,24.57,6.51,22.6,1,1
73,Kamran Akmal (PAK),58,53,6,987,73,21,825,119.63,0,5,7,100,31,,,,,,,,,,,
74,CL White (AUS),47,44,14,984,85*,32.8,740,132.97,0,5,3,71,44,,,,,,,,,,,
75,GC Smith (SA),33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26,,,,,,,,,,,
76,Shaiman Anwar (UAE),32,32,3,971,117*,33.48,770,126.1,1,6,1,75,43,,,,,,,,,,,
77,ADS Fletcher (WI),54,52,7,950,84*,21.11,853,111.37,0,6,7,66,51,,,,,,,,,,,
78,LD Chandimal (SL),61,54,6,950,66*,19.79,909,104.51,0,6,0,82,19,,,,,,,,,,,
79,Sabbir Rahman (BAN),44,43,5,946,80,24.89,783,120.81,0,4,2,89,28,,,,,,,,,,,
80,MH Cross (SCOT),56,46,7,946,66*,24.25,815,116.07,0,5,5,90,25,,,,,,,,,,,
